TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster,PCA1,PCA2
TX000001,AC00128,-0.9712754695068417,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,1.4237182648914386,Doctor,-0.5524432626288956,-0.2067936485059295,-0.000536635052410607,2024-11-04 08:08:08,1,1.0599498634324451,-0.43903179767444367
TX000002,AC00455,0.2694396064236744,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,1.3112870641052805,Doctor,0.30531436617680696,-0.2067936485059295,2.2164715868484435,2024-11-04 08:09:35,1,2.444263488883747,0.5286207040261186
TX000003,AC00019,-0.5868816229808057,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,-1.443277355155591,Student,-0.9098422746312717,-0.2067936485059295,-1.0235341282270716,2024-11-04 08:07:04,0,-1.6586853127850807,-1.0306309935505074
TX000004,AC00070,-0.38745590278222686,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,-1.0497681524040379,Student,-1.353017049514218,-0.2067936485059295,0.8857974429054191,2024-11-04 08:09:06,0,-0.0046307133798172435,-1.3241572680640408
TX000005,AC00411,-0.9734680903782914,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,Online,-1.0497681524040379,Student,1.1201841135422244,-0.2067936485059295,0.5935893646592064,2024-11-04 08:06:39,0,-0.4176691627689897,1.134312573490431
TX000006,AC00393,-0.7038442425922038,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,-1.49949295554867,Student,0.7484891410597533,-0.2067936485059295,-1.1108816933044958,2024-11-04 08:06:36,0,-1.9029805428952677,0.6148090836669637
TX000007,AC00199,-0.9952915199894398,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,-0.4313965480801688,Doctor,0.2767224452166169,-0.2067936485059295,2.103091796208713,2024-11-04 08:10:09,1,1.1527689722078032,0.43267814137683197
TX000008,AC00069,-0.43226759184248137,2023-05-08 17:47:59,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,1.2550714637122016,Retired,2.449708438191063,-0.2067936485059295,-0.5943498275623533,2024-11-04 08:10:55,1,0.25430387524539777,2.485690260168308
TX000009,AC00135,-0.6556065834203091,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,0.35562185742293734,Engineer,-0.4809634602284204,-0.2067936485059295,1.0206840106570008,2024-11-04 08:11:14,1,1.0109964984446536,-0.36341517225565273
TX000011,AC00150,-0.958633639794889,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,0.41183745781601633,Engineer,-0.8669543931909865,-0.2067936485059295,0.6372080213386072,2024-11-04 08:06:45,1,0.8195219202421546,-0.763030496193202
TX000012,AC00459,-0.3685445477659726,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,-1.330846154369433,Student,0.7627851015398482,-0.2067936485059295,-0.9193180502003306,2024-11-04 08:07:12,0,-1.6552075132332287,0.6422797047621883
TX000013,AC00392,0.674663351228483,2023-06-07 17:21:28,Credit,Mesa,D000032,210.98.198.143,M057,Branch,-1.162199353190196,Student,-0.12356444822604433,-0.2067936485059295,-0.895931865884976,2024-11-04 08:08:38,0,-1.456545383926124,-0.25792870717404276
TX000014,AC00264,1.658739006096028,2023-11-20 16:39:15,Debit,Memphis,D000054,193.83.0.183,M025,ATM,-1.0497681524040379,Student,0.04798707753509617,-0.2067936485059295,-1.2626675419268705,2024-11-04 08:07:06,0,-1.6630025648977227,-0.13309133510791396
TX000015,AC00085,-0.4474446394370476,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,Online,-1.49949295554867,Student,0.20524264281614163,-0.2067936485059295,-1.2344020780640845,2024-11-04 08:10:09,0,-1.9457441444615502,0.05835944821896148
TX000016,AC00270,0.575070400083101,2023-12-12 16:23:31,Debit,Denver,D000466,221.169.49.152,M025,ATM,-0.4876121484732478,Engineer,0.13376284041566644,-0.2067936485059295,-0.4227417455289484,2024-11-04 08:12:19,0,-0.6687215931547703,0.0700914021362383
TX000017,AC00317,0.8846067996697973,2023-10-30 16:52:49,Credit,Austin,D000671,53.218.177.171,M048,Branch,-1.443277355155591,Student,0.5483456943384226,-0.2067936485059295,-1.021249610057465,2024-11-04 08:07:35,0,-1.8047759693369303,0.3816340327565735
TX000018,AC00359,0.669216058750975,2023-12-14 18:32:14,Debit,Columbus,D000432,114.223.129.47,M059,Online,-0.31896534729401077,Engineer,1.6348386908256458,-0.2067936485059295,-0.0011109695866326143,2024-11-04 08:11:51,0,-0.38605091236791245,1.6005150410169677
TX000019,AC00242,-0.9555502666944129,2023-02-21 16:56:50,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,0.8053466605675694,Retired,-0.19504425062651956,-0.2067936485059295,0.7266529330633243,2024-11-04 08:12:01,1,1.1017172053362219,-0.06664132595272619
TX000020,AC00285,-0.7746590447998077,2023-06-08 18:18:50,Credit,Columbus,D000039,120.170.93.69,M039,Online,-1.49949295554867,Student,0.7056012596194681,-0.2067936485059295,0.3728782439432717,2024-11-04 08:09:20,0,-0.8569882843600459,0.6765826970607343
TX000021,AC00002,-0.8163188413573532,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,1.4799338652845175,Retired,-1.1671695632729824,-0.2067936485059295,0.1632204990176552,2024-11-04 08:09:24,1,1.2661733306524414,-1.0410193765911353
TX000022,AC00014,-0.7257019319044686,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,-0.3751809476870898,Doctor,-0.38089173686775507,-0.2067936485059295,1.0337731972516602,2024-11-04 08:08:13,1,0.49581329834751775,-0.30035835697957647
TX000023,AC00095,-0.8407117485522317,2023-06-06 18:54:15,Debit,Atlanta,D000142,133.63.96.21,M022,Online,-0.31896534729401077,Engineer,0.005099196094811046,-0.2067936485059295,0.9898622453182356,2024-11-04 08:07:01,1,0.47260228661211856,0.08712032806629494
TX000025,AC00241,-0.5209316983317309,2023-03-02 16:43:56,Debit,Raleigh,D000036,119.186.154.104,M028,Online,-1.330846154369433,Student,-0.33800385542746997,-0.2067936485059295,-0.8162070533532758,2024-11-04 08:07:09,0,-1.4845782000181071,-0.4426026912572044
TX000026,AC00041,-0.9938868722436672,2023-10-20 17:53:13,Credit,Houston,D000671,81.248.235.147,M043,Online,1.1426402629260435,Retired,2.2352690309896377,-0.2067936485059295,-0.37937692420172625,2024-11-04 08:09:44,1,0.3521744956391884,2.296192709582306
TX000028,AC00057,-0.8814122734785179,2023-03-29 16:42:38,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,-0.4313965480801688,Engineer,-0.35229981590756504,-0.2067936485059295,-0.6224819637654089,2024-11-04 08:11:59,0,-0.7065952698015555,-0.38517468091771584
TX000029,AC00390,-0.5829074976513031,2023-01-24 16:18:32,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,-0.03788734532861574,Doctor,1.1058881530621294,-0.2067936485059295,-0.8569489093746535,2024-11-04 08:11:22,0,-0.7244801523467284,1.0637695557733695
TX000030,AC00313,-0.82711064720902,2023-09-20 16:55:42,Debit,Detroit,D000297,33.28.138.82,M043,Branch,-0.9935525520109589,Student,2.335340754350303,-0.2067936485059295,-0.9647315022991751,2024-11-04 08:08:30,0,-1.5797010734695605,2.235688865274823
TX000031,AC00367,-0.9225581745193173,2023-07-17 17:49:22,Credit,Miami,D000587,35.67.21.23,M091,Online,0.8053466605675694,Doctor,-1.4244968519146932,-0.2067936485059295,0.8256487204129397,2024-11-04 08:09:17,1,1.278140553586041,-1.2849591785814933
TX000032,AC00291,-0.8170040353796812,2023-02-06 16:24:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,-0.8811213512248008,Doctor,1.963645781867832,-0.2067936485059295,1.2074709339519887,2024-11-04 08:06:58,1,0.056508254761207036,2.021494204290397
TX000035,AC00365,-0.1450342576825629,2023-10-27 16:42:49,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,0.018328255064463266,Doctor,-0.995618037511842,-0.2067936485059295,2.487475439210654,2024-11-04 08:10:51,1,1.8398436944643817,-0.8065508212744438
TX000036,AC00267,-0.5921233572516154,2023-10-16 16:32:56,Debit,Seattle,D000042,59.145.242.13,M002,Branch,0.2431906566367793,Engineer,-1.0670978399123172,-0.2067936485059295,0.16676650196778517,2024-11-04 08:06:23,1,0.38258999657481224,-1.0138842452106258
TX000037,AC00404,-0.7518763435574001,2023-11-21 16:58:44,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,-1.0497681524040379,Student,0.3624982080971871,-0.2067936485059295,-1.0803881191281433,2024-11-04 08:12:18,0,-1.529293752209315,0.25810361755672206
TX000038,AC00202,1.204866485705928,2023-03-02 17:53:32,Debit,San Jose,D000448,73.108.76.238,M074,ATM,1.7047962668568335,Retired,0.24813052425642676,-0.2067936485059295,-0.0611366203932074,2024-11-04 08:11:15,1,1.1161439618005702,0.3100800328350176
TX000040,AC00405,0.1303109601899639,2023-01-24 17:17:20,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,0.5804842589952534,Retired,1.3775114021839352,-0.2067936485059295,-1.0499330048536357,2024-11-04 08:07:32,0,-0.45636524520250193,1.3348924995701608
TX000041,AC00421,0.10578101419061983,2023-07-31 18:39:50,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,1.0302090621398854,Retired,-0.009196764385283997,-0.2067936485059295,-0.2027203390527713,2024-11-04 08:07:31,1,0.5775749831995901,0.03750674507968496
TX000042,AC00480,-0.9029958851818515,2023-01-09 16:13:21,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,-0.3751809476870898,Doctor,-1.4387928123947882,-0.2067936485059295,2.3332794367393115,2024-11-04 08:11:45,1,1.502642061294417,-1.2591619240248446
TX000043,AC00120,-0.19244968402766394,2023-04-20 18:57:43,Credit,Charlotte,D000198,60.89.202.192,M044,Online,0.6929154597814113,Doctor,-0.052084645825569126,-0.2067936485059295,2.113427253831254,2024-11-04 08:09:03,1,1.9724279005493568,0.14480235834914557
TX000044,AC00117,-0.8300227218039142,2023-04-12 16:03:37,Debit,Tucson,D000197,173.135.78.201,M009,ATM,-1.443277355155591,Student,-0.03778868534547408,-0.2067936485059295,-1.2493091360192947,2024-11-04 08:08:03,0,-1.8899568569052496,-0.17126498601525317
TX000045,AC00011,0.023009576293391343,2023-07-26 16:52:28,Debit,Louisville,D000685,77.208.193.198,M005,Branch,-0.9935525520109589,Student,-1.2386493656734576,-0.2067936485059295,-1.0885928981884585,2024-11-04 08:09:53,0,-1.3661295466362784,-1.3548511520797721
TX000046,AC00401,0.47167462211379824,2023-10-04 17:49:29,Debit,Chicago,D000297,197.162.55.147,M051,Branch,1.6485806664637546,Retired,-0.42377961830804023,-0.2067936485059295,-0.11307799983191522,2024-11-04 08:11:12,1,1.108770822815691,-0.3457211786465415
TX000047,AC00282,-0.4560095647161482,2023-12-13 16:01:38,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,-1.0497681524040379,Student,-0.6382190255094659,-0.2067936485059295,-0.9243280934140357,2024-11-04 08:10:33,0,-1.3364340249176354,-0.73563264746774
TX000048,AC00439,0.7285196013834677,2023-10-09 16:29:40,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,-1.443277355155591,Student,-0.20934021110661458,-0.2067936485059295,-1.1108765653175832,2024-11-04 08:11:35,0,-1.799328302008614,-0.3748147718593932
TX000049,AC00296,1.128193274607419,2023-11-27 16:45:57,Debit,Denver,D000284,93.146.251.20,M023,Online,-1.0497681524040379,Student,0.2624264847365218,-0.2067936485059295,-1.243227343540836,2024-11-04 08:07:24,0,-1.6607721832218867,0.09618326831826306
TX000050,AC00471,-0.9441417862226509,2023-03-27 16:45:18,Credit,Sacramento,D000304,124.6.134.78,M055,Online,-0.20653414650785276,Engineer,0.7913770225000384,-0.2067936485059295,-0.9689877314367137,2024-11-04 08:06:31,0,-0.8898596553738665,0.7435509944189306
